Respondent,Gender,Age,AOI-Name,Hit time-G (ms),Time spent-G (ms),Time spent-G (%),Respondent ratio-G,Revisit-G (Revisitors),Revisit-G (Visitors),Revisit-G (Revisits),TTFF-F (ms),Time spent-F (ms),Time spent-F (%),Revisit-F (Revisitors),Revisit-F (Visitors),Revisit-F (Revisits),Fixations Count
974724,Male,10,ToM2 Ball,165146,1491,41,1,1,1,2,164698,1868,52,1,1,2,5
974725,Female,11,ToM2 Ball,164624,1414,39,1,1,1,3,164624,1297,36,1,1,3,3
974726,Male,12,ToM2 Ball,164531,1894,53,1,1,1,5,164761,1083,30,1,1,6,6
974727,Female,8,ToM2 Ball,166172,1317,37,1,0,1,0,164694,1083,30,1,1,3,4
974728,Male,9,ToM2 Ball,163604,544,15,1,0,1,0,163715,184,5,0,1,0,1
974729,Female,7,ToM2 Ball,164476,676,19,1,1,1,3,3600,0,0,0,0,0,0
974730,Male,11,ToM2 Ball,164672,1358,38,1,1,1,5,164706,811,23,1,1,4,5
974731,Male,8,ToM2 Ball,166182,257,7,1,0,1,0,3600,0,0,0,0,0,0
974732,Male,7,ToM2 Ball,163611,1783,50,1,1,1,3,163611,1338,37,1,1,4,5
974733,Male,7,ToM2 Ball,165458,1148,32,1,1,1,2,165509,645,18,1,1,2,2
974734,Female,10,ToM2 Ball,166995,217,6,1,0,1,0,166995,145,4,0,1,0,1
974735,Female,11,ToM2 Ball,163599,1007,28,1,1,1,4,163599,920,26,1,1,2,3
974736,Female,9,ToM2 Ball,165230,905,25,1,1,1,2,165230,266,7,1,1,2,2
974737,Female,7,ToM2 Ball,165063,1569,44,1,1,1,2,165951,634,18,1,1,3,3
974738,Female,8,ToM2 Ball,164600,1578,44,1,1,1,2,164600,1084,30,1,1,4,5
974739,Female,11,ToM2 Ball,163583,1769,49,1,1,1,4,164525,1520,42,1,1,3,6
974740,Male,10,ToM2 Ball,0,0,0,0,0,0,0,3600,0,0,0,0,0,0
974741,Male,7,ToM2 Ball,164729,1834,51,1,1,1,2,164772,801,22,1,1,2,3
974742,Female,6,ToM2 Ball,164658,1459,41,1,1,1,3,164738,2398,67,1,1,2,5
974743,Female,8,ToM2 Ball,163589,1664,46,1,1,1,4,164614,755,21,1,1,2,2
974744,Female,6,ToM2 Ball,164659,1236,34,1,1,1,2,164693,1662,46,1,1,2,4
974745,Male,9,ToM2 Ball,163586,1759,49,1,1,1,4,164618,1256,35,1,1,4,6
974746,Male,9,ToM2 Ball,164634,1153,32,1,1,1,2,164717,768,21,1,1,3,4
974747,Male,9,ToM2 Ball,0,126,4,1,0,0,0,3600,0,0,0,0,0,0
974748,Male,9,ToM2 Ball,163602,912,25,1,1,1,2,165641,372,10,1,1,2,2
974749,Female,11,ToM2 Ball,165511,1397,39,1,1,1,3,165511,614,17,0,1,0,4
974750,Female,7,ToM2 Ball,165363,1292,36,1,1,1,2,165363,874,24,1,1,3,3
974751,Male,10,ToM2 Ball,166051,1158,32,1,1,1,2,164783,873,24,1,1,4,4
974752,Male,12,ToM2 Ball,164572,1518,42,1,1,1,3,164572,1623,45,1,1,5,6
974753,Male,10,ToM2 Ball,165188,1683,47,1,1,1,3,165188,1276,35,1,1,2,4
974754,Male,6,ToM2 Ball,165044,1283,36,1,1,1,3,165044,1414,39,1,1,3,6
974755,Female,7,ToM2 Ball,163605,1667,46,1,1,1,3,164661,1707,47,1,1,2,4
974756,Male,10,ToM2 Ball,164374,1960,54,1,1,1,3,164739,969,27,1,1,4,5
974757,Male,10,ToM2 Ball,166178,458,13,1,0,1,0,165835,105,3,0,1,0,1
974758,Male,6,ToM2 Ball,166344,542,15,1,0,1,0,166300,303,8,0,1,0,1
974759,Male,9,ToM2 Ball,165134,1474,41,1,1,1,2,164706,984,27,1,1,4,4
974760,Female,11,ToM2 Ball,164545,1484,41,1,1,1,3,164676,1708,47,1,1,3,4
974761,Male,11,ToM2 Ball,165018,1282,36,1,1,1,2,166685,112,3,0,1,0,1
974762,Female,7,ToM2 Ball,164614,1292,36,1,1,1,3,164614,321,9,1,1,2,2
974763,Male,6,ToM2 Ball,164601,1370,38,1,1,1,3,164601,793,22,1,1,3,4
974764,Male,8,ToM2 Ball,164551,1212,34,1,1,1,3,164583,843,23,1,1,2,2
974765,Male,8,ToM2 Ball,0,0,0,0,0,0,0,3600,0,0,0,0,0,0
974766,Male,6,ToM2 Ball,166382,691,19,1,1,1,2,166932,107,3,0,1,0,1
974767,Male,10,ToM2 Ball,166135,227,6,1,0,1,0,3600,0,0,0,0,0,0
974768,Male,6,ToM2 Ball,163641,1714,48,1,1,1,3,163641,1067,30,1,1,3,5
974769,Female,8,ToM2 Ball,163683,499,14,1,1,1,3,164633,397,11,0,1,0,1
974770,Male,8,ToM2 Ball,163581,1437,40,1,1,1,4,164624,589,16,1,1,2,2
974771,Male,9,ToM2 Ball,163566,1617,45,1,1,1,3,164680,208,6,1,1,2,2
974772,Male,8,ToM2 Ball,163667,1312,36,1,1,1,2,163667,901,25,1,1,3,4
974773,Female,10,ToM2 Ball,164512,1329,37,1,1,1,3,164512,920,26,1,1,3,4
974774,Male,8,ToM2 Ball,163595,1410,39,1,1,1,3,164772,1230,34,1,1,3,5
974775,Male,10,ToM2 Ball,0,45,1,1,0,0,0,3600,0,0,0,0,0,0
974776,Male,8,ToM2 Ball,163576,1744,48,1,1,1,4,164638,2218,62,1,1,2,4
974777,Male,7,ToM2 Ball,163579,1403,39,1,1,1,2,164733,1131,31,1,1,3,3
974778,Male,10,ToM2 Ball,164587,787,22,1,1,1,3,164587,782,22,1,1,3,3
974779,Female,7,ToM2 Ball,165198,1162,32,1,1,1,2,165198,1090,30,1,1,3,4
974780,Female,9,ToM2 Ball,163668,271,8,1,0,1,0,164742,277,8,0,1,0,1
974781,Female,6,ToM2 Ball,163587,1616,45,1,1,1,3,163630,1373,38,1,1,3,5
974782,Male,7,ToM2 Ball,166132,460,13,1,0,1,0,166171,153,4,0,1,0,1
974783,Female,7,ToM2 Ball,164615,362,10,1,1,1,2,164689,1043,29,1,1,2,2
974784,Female,8,ToM2 Ball,165141,1612,45,1,1,1,2,165213,286,8,1,1,2,2
974785,Male,10,ToM2 Ball,166200,1134,32,1,0,1,0,165437,811,23,1,1,3,4
974786,Female,8,ToM2 Ball,165508,1374,38,1,1,1,2,166602,140,4,0,1,0,1
974787,Female,5,ToM2 Ball,165215,1174,33,1,1,1,2,166272,985,27,0,1,0,2
974788,Male,9,ToM2 Ball,163701,1219,34,1,1,1,4,163666,802,22,1,1,3,3
